GrNr;TrialNr;ParticipantNr;EMO;SIG;SYNCIX
3;48;11;1;0.018057628;0.96355773
3;48;12;0;0.005291121;0.97814041
3;49;9;1;0.004625404;0.99365831
3;49;10;1;0.003286453;0.99120385
3;49;11;-1;0.006382304;0.99003677
3;49;12;0;0.009711404;0.99403131
3;50;9;1;0.010434873;0.97883201
3;50;10;1;0.009524209;0.97267108
3;50;11;-1;0.005451423;0.98833912
3;50;12;1;0.013642138;0.98081796
3;51;9;1;0.032097738;0.99513009
3;51;10;1;0.032246682;0.97142322
3;51;11;0;0.093674872;0.98259954
3;51;12;-1;0.03061253;0.98162926
3;52;9;1;0.010577607;0.98656487
3;52;10;1;0.010786922;0.9956957
3;52;11;0;0.014559632;0.96884455
3;52;12;1;0.023830662;0.956337
3;53;9;1;0.006704779;0.99313852
3;53;10;1;0.022897983;0.97867386
3;53;11;1;0.007532642;0.99194682
3;53;12;-1;0.004600119;0.98918626
3;54;9;1;0.010953522;0.97889941
3;54;10;1;0.01979956;0.9901469
3;54;11;1;0.012841839;0.96679621
3;54;12;0;0.007530836;0.98260732
4;1;13;-1;0.21606285;0.61827617
4;1;14;-1;0.15983035;0.42879362
4;1;15;-1;0.18329016;0.40122373
4;1;16;0;0.078398558;0.72466102
4;2;13;-1;0.15130359;0.971552
4;2;14;-1;0.023112728;0.9815975
4;2;15;-1;0.037941656;0.98795482
4;2;16;1;0.018506756;0.94245048
4;3;13;-1;0.013004376;0.9952303
4;3;14;-1;0.015155868;0.98111423
4;3;15;0;0.009546641;0.99256161
4;3;16;-1;0.021834505;0.99349812
4;4;13;-1;0.063641783;0.98215838
4;4;14;-1;0.046436833;0.96825397
4;4;15;0;0.025136947;0.98934743
4;4;16;1;0.032878988;0.99417285
4;5;13;-1;0.015298912;0.98999247
4;5;14;-1;0.033681405;0.98988676
4;5;15;1;0.007092914;0.9783839
4;5;16;-1;0.020838778;0.99733386
4;6;13;-1;0.072579833;0.98090643
4;6;14;-1;0.052209218;0.98098337
4;6;15;1;0.065400562;0.96016914
4;6;16;0;0.15928703;0.98885606
4;7;13;-1;0.020842467;0.97356696
4;7;14;0;0.01515883;0.99497877
4;7;15;-1;0.016380859;0.97474086
4;7;16;0;0.007451304;0.98117214
4;8;13;-1;0.003164535;0.98693686
4;8;14;0;0.004527343;0.99152031
